Name,Location,Type,Address,Phone,Emergency,Timing,Services,Notes
THQ Hospital Murree,Murree,Government Hospital,"
Kuldana Road Near GPO, Murree, Pakistan",(051) 9269074,Yes - 24/7,24 Hours,Emergency Department General Medicine Surgery Gynecology Pediatrics Diagnostic Labs Blood Storage,Main public hospital in Murree. First emergency facility during snowfall and road blockages. Collaborates with Rescue 1122 for patient transfers to Rawalpindi.
Rescue 1122,Murree,Emergency Service,Murree,1122,Yes - 24/7,24 Hours,Emergency Rescue Ambulance Fire Fighting,Call 1122 for any emergency in Murree. Provides ambulance services and patient transfers to Rawalpindi or Islamabad hospitals.
Maryam Nawaz Health Clinic Phaphril,Murree,Government Hospital,"VC54+XRF, Murree - Islamabad Link, Murree, 47150, Pakistan",03047357733,Yes - 24/7,24 Hours,Emergency Department General Medicine ,Emergnecy Hospital
Al-Shifa Clinic Murree,Murree,Private Clinic,"Al Shifa Clinic Basement Jhika Gali, bazar, Murree, Pakistan",0513411889,No,10AM - 10PM,General Medicine Minor Emergency,Private clinic on Mall Road for tourists needing medical assistance.
RAUF RASHEED MEMORIAL HOSPITAL MURREE,Murree,Hospital & Pharmacy,"Cuart Rd? near A.M. Guest House Sunny Bank, Murree, 47150, Pakistan",03115777668,Yes - 24/7,24 Hours,"General Consultation,OPD& Emergency Service","Rauf Rasheed Memorial Hospital is a healthcare unit, working since 1993, registered with the Government Of Pakistan. They provide all the facilities including Emergency services 24/7 (On Fridays Also)"
